,id,host_id,zipcode,accommodates,bathrooms,bedrooms,beds,minimum_nights,availability_30,number_of_reviews,review_scores_rating,host_listing_count,Apartment,Bed & Breakfast,Boat,Castle,Dorm,House,Hut,Loft,Other,Tent,Treehouse,Entire home/apt,Private room,Shared room,Airbed,Couch,Futon,Pull-out Sofa,Real Bed,price,price_log
0,1069266,5867023,10022,-0.5195404859068907,-0.3370343067877555,-0.41170092407648967,-0.5068550097086097,0.17367341683956244,0.3767702960133932,2.499089645597039,85-89,-0.38286826759845854,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,160.0,5.075173815233827
2,2061725,4601412,11221,-0.5195404859068907,-0.3370343067877555,-0.41170092407648967,0.38159161324243157,0.17367341683956244,-0.982847059134595,1.1692907562277892,95-100,1.0068657601629891,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,58.0,4.060443010546419
3,44974,198425,10011,-0.5195404859068907,-0.3370343067877555,-0.41170092407648967,-0.5068550097086097,2.9473788713085614,-1.2227795335724754,0.7260244597713726,95-100,-0.38286826759845854,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,185.0,5.220355825078324
4,4701675,22590025,10011,-0.5195404859068907,-0.3370343067877555,-0.41170092407648967,0.38159161324243157,-0.6188138558658658,1.096567719327034,-0.5052708081631176,95-100,-0.38286826759845854,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,195.0,5.272999558563747
5,68914,343302,11231,1.6716253459016284,-0.3370343067877555,1.235102772229469,1.2700382361934728,-0.22257021951315167,-0.42300461877954104,0.23350635259757657,95-100,0.08037640832202401,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,165.0,5.10594547390058
6,4832596,4148973,11207,-0.5195404859068907,-0.3370343067877555,-0.41170092407648967,-0.5068550097086097,-0.6188138558658658,1.0165902278477406,-0.5545226188804973,No Reviews,-0.38286826759845854,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,80.0,4.382026634673881
7,2562510,13119459,10013,-0.5195404859068907,-0.3370343067877555,-0.41170092407648967,-0.5068550097086097,-0.22257021951315167,-0.9028695676553016,-0.5545226188804973,No Reviews,-0.38286826759845854,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,120.0,4.787491742782046
8,3005360,4421803,10003,0.5760424299973689,-0.3370343067877555,1.235102772229469,0.38159161324243157,-0.6188138558658658,1.096567719327034,0.13500273116281733,95-100,1.0068657601629891,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,150.0,5.0106352940962555
9,2431607,4973668,11221,-0.5195404859068907,-0.3370343067877555,-0.41170092407648967,-0.5068550097086097,0.5699170531922766,-1.3027570250517688,-0.062004511706701106,90-94,1.0068657601629891,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,40.0,3.6888794541139363
11,4833061,24879430,11221,-0.5195404859068907,-0.3370343067877555,-0.41170092407648967,-0.5068550097086097,-0.6188138558658658,-1.142802042093182,-0.5545226188804973,No Reviews,-0.38286826759845854,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,75.0,4.31748811353631
12,234327,652642,10018,0.5760424299973689,-0.3370343067877555,-0.41170092407648967,2.1584848591445143,0.17367341683956244,1.096567719327034,-0.20975994385883995,80-84,10.735003954493122,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,80.0,4.382026634673881
13,2000287,10303472,11213,-0.5195404859068907,-0.3370343067877555,-0.41170092407648967,-0.5068550097086097,-0.6188138558658658,1.0165902278477406,0.7260244597713726,90-94,0.5436210842425065,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,110.0,4.700480365792417
14,2525956,7365834,10019,0.028250972045239065,-0.3370343067877555,-0.41170092407648967,0.38159161324243157,6.513571598482989,1.096567719327034,-0.20975994385883995,85-89,0.5436210842425065,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,189.0,5.241747015059643
15,809929,4260203,10014,0.028250972045239065,-0.3370343067877555,-0.41170092407648967,-0.5068550097086097,-0.22257021951315167,-0.982847059134595,-0.16050813314146034,95-100,-0.38286826759845854,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,200.0,5.298317366548036
16,753622,869880,10003,-1.0673319438590205,-0.3370343067877555,-0.41170092407648967,-0.5068550097086097,0.9661606895449907,1.096567719327034,-0.25901175457621956,90-94,0.08037640832202401,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,95.0,4.553876891600541
